结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首屏打开时间,下载时间,页面加载时间,总时间,吞吐率,综合质量,解析成功率,连接成功率,首页加载成功率,加载比例,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项,元素数量
2013-05-18 00:00.,2015,222.50.124.102,NULL,adobe.com,adobe.com,NULL,0.25,269.73,270.02,2166.77,7164.59,9684.46,10228.38,53.7,42.9,100,40.62,100,40.62,0,192.150.16.117,美国,NULL, 其它运营商,384.8,379.9,301,32,32
2013-05-18 00:00.,2009,222.50.124.78,NULL,xiaoshuo520.com,xiaoshuo520.com,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-18 00:00.,2011,222.50.124.86,NULL,wan5d.com,wan5d.com,NULL,0.24,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,122.226.64.17,中国,浙江, 电信,NULL,NULL,NULL,1,1
2013-05-18 00:00.,2004,222.50.124.58,NULL,工商银行,www.icbc.com.cn,网页类,0.48,59.98,53.46,113.92,138.75,241.82,241.82,34.8,62.4,100,100,100,100,100,61.158.248.31,中国,河南, 联通,4.8,3.9,200,2,2
2013-05-18 00:00.,1002,222.50.124.38,NULL,anquanweb.com,anquanweb.com,NULL,0.51,27.16,30.61,139.8,1191.66,1643.3,1700.93,38.44,61,100,100,100,100,100,223.4.24.61,中国,浙江, 移动,45.8,40.2,200,17,17
2013-05-18 00:00.,2001,123.65.232.142,NULL,pujia.com,pujia.com,NULL,0.38,33.22,35.15,248.9,179.88,248.9,248.9,245.96,91.1,66.67,66.67,100,66.67,0,211.151.62.172,中国,北京, 联通,44.2,43.5,301,3,3
2013-05-18 00:00.,2002,123.89.176.30,NULL,3366.com,3366.com,广东铁通TOPn网站,0.47,6.7,11.29,105.08,8720.78,12001.48,13231.52,70.22,57.1,100,100,100,100,100,120.198.189.102,中国,广东, 移动,612.4,568,301,50,110
2013-05-18 00:00.,2007,222.50.124.70,NULL,soso.com,soso.com,广东铁通TOPn网站,0.42,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,183.61.32.183,中国,广东, 电信,NULL,NULL,NULL,1,1
2013-05-18 00:00.,2006,222.50.124.66,NULL,eb80.com,eb80.com,NULL,0.25,31.28,37.77,69.29,121.66,228.28,228.28,57.79,69.7,100,100,100,100,100,115.238.238.199,中国,浙江, 电信,7,6,200,4,4
2013-05-18 00:00.,1014,222.50.124.30,NULL,365ub.com,365ub.com,NULL,0.42,38.38,67.87,302.49,1404.18,1766.31,1766.31,107.36,70.8,100,100,100,100,100,221.238.255.11,中国,天津, 电信,150.8,147.9,302,9,9
2013-05-18 00:00.,1008,222.50.124.46,NULL,1ting.com,1ting.com,NULL,0.48,31.6,31.84,463.08,7519.08,9743.9,10717.55,123.98,69,100,100,100,100,100,114.113.144.13,中国,北京, 铁通,932.2,904.6,301,50,91
2013-05-18 00:00.,1010,222.50.124.6,NULL,qihoo.com,qihoo.com,NULL,0.22,51.75,53.25,157.09,225.48,357.78,357.78,53.67,68.3,100,100,100,100,100,61.55.181.124,中国,河北, 联通,12.1,10.8,200,3,3
2013-05-18 00:00.,2015,222.50.124.102,NULL,manzuo.com,manzuo.com,NULL,0.43,31.34,31.32,499.12,1682.84,2242.8,2409.99,97.34,71.2,100,100,100,100,100,58.68.247.68,中国,北京, 移动,163.8,156.3,301,22,22
2013-05-18 00:00.,1012,222.50.124.14,NULL,ppstream.com,ppstream.com,NULL,0.49,29.11,29.2,58.8,4538.57,10011.32,13831.28,224.31,81.7,100,98.68,100,98.68,100,211.151.142.154,中国,北京, 联通,1018,984.5,200,50,76
2013-05-18 00:00.,1009,222.50.124.50,NULL,bankcomm.com,bankcomm.com,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-18 00:00.,1014,222.50.124.30,NULL,live.com,live.com,NULL,0.5,259.94,262.16,4062.79,2363.49,6873.19,6873.19,44.78,49.2,100,100,100,100,100,65.55.206.154,美国,NULL, 其它运营商,105.8,69.3,301,9,9
2013-05-18 00:00.,1011,222.50.124.10,NULL,cmbchina.com,cmbchina.com,NULL,0.48,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,210.83.224.193,中国,广东, 联通,NULL,0,400,1,1
2013-05-18 00:00.,2012,222.50.124.90,NULL,mbaobao.com,mbaobao.com,NULL,0.45,32.92,33.65,617.55,1599.08,2234.88,2340.42,55.87,65.3,100,100,100,100,100,211.151.136.100,中国,北京, 联通,89.3,84.6,301,15,15
2013-05-18 00:00.,2003,123.89.176.38,NULL,4399.com,4399.com,NULL,0.58,32.5,32.33,282.45,12431.05,17443.22,19130.82,53.35,51.7,100,100,100,100,100,115.182.52.231,中国,北京, 移动,663.2,605.6,301,50,157
2013-05-18 00:00.,2003,123.89.176.38,NULL,xdowns.com,xdowns.com,NULL,1.49,32.6,34.5,212,952.02,1279.5,1345.49,235.87,88.3,100,100,100,100,100,218.93.127.235,中国,江苏, 电信,224.6,221.3,301,12,12
2013-05-18 00:00.,2008,222.50.124.74,NULL,dygod.net,dygod.net,NULL,0.48,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,123.183.211.135,中国,河北, 电信,NULL,NULL,NULL,1,1
